,Postal code,Borough,Latitude,Longitude,location,Neighborhood
182,M5W,Downtown Toronto,43.6464352,-79.37484599999999,"(43.6464352, -79.37484599999999)",Stn A PO Boxes
183,M8W,Etobicoke,43.60241370000001,-79.54348409999999,"(43.60241370000001, -79.54348409999999)",Alderwood 
184,M8W,Etobicoke,43.60241370000001,-79.54348409999999,"(43.60241370000001, -79.54348409999999)", Long Branch
185,M9W,Etobicoke,43.706748299999994,-79.5940544,"(43.706748299999994, -79.5940544)",Northwest
186,M1X,Scarborough,43.836124700000006,-79.20563609999999,"(43.836124700000006, -79.20563609999999)",Upper Rouge
187,M4X,Downtown Toronto,43.667967,-79.3676753,"(43.667967, -79.3676753)",St. James Town 
188,M4X,Downtown Toronto,43.667967,-79.3676753,"(43.667967, -79.3676753)", Cabbagetown
189,M5X,Downtown Toronto,43.6484292,-79.3822802,"(43.6484292, -79.3822802)",First Canadian Place 
190,M5X,Downtown Toronto,43.6484292,-79.3822802,"(43.6484292, -79.3822802)", Underground city
191,M8X,Etobicoke,43.653653600000005,-79.5069436,"(43.653653600000005, -79.5069436)",The Kingsway 
192,M8X,Etobicoke,43.653653600000005,-79.5069436,"(43.653653600000005, -79.5069436)", Montgomery Road 
193,M8X,Etobicoke,43.653653600000005,-79.5069436,"(43.653653600000005, -79.5069436)", Old Mill North
194,M4Y,Downtown Toronto,43.6658599,-79.38315990000001,"(43.6658599, -79.38315990000001)",Church and Wellesley
195,M7Y,East Toronto,43.6627439,-79.321558,"(43.6627439, -79.321558)",Business reply mail Processing CentrE
196,M8Y,Etobicoke,43.6362579,-79.49850909999999,"(43.6362579, -79.49850909999999)",Old Mill South 
197,M8Y,Etobicoke,43.6362579,-79.49850909999999,"(43.6362579, -79.49850909999999)", King's Mill Park 
198,M8Y,Etobicoke,43.6362579,-79.49850909999999,"(43.6362579, -79.49850909999999)", Sunnylea 
199,M8Y,Etobicoke,43.6362579,-79.49850909999999,"(43.6362579, -79.49850909999999)", Humber Bay 
200,M8Y,Etobicoke,43.6362579,-79.49850909999999,"(43.6362579, -79.49850909999999)", Mimico NE 
201,M8Y,Etobicoke,43.6362579,-79.49850909999999,"(43.6362579, -79.49850909999999)", The Queensway East 
202,M8Y,Etobicoke,43.6362579,-79.49850909999999,"(43.6362579, -79.49850909999999)", Royal York South East 
203,M8Y,Etobicoke,43.6362579,-79.49850909999999,"(43.6362579, -79.49850909999999)", Kingsway Park South East
204,M8Z,Etobicoke,43.6288408,-79.52099940000001,"(43.6288408, -79.52099940000001)",Mimico NW 
205,M8Z,Etobicoke,43.6288408,-79.52099940000001,"(43.6288408, -79.52099940000001)", The Queensway West 
206,M8Z,Etobicoke,43.6288408,-79.52099940000001,"(43.6288408, -79.52099940000001)", South of Bloor 
207,M8Z,Etobicoke,43.6288408,-79.52099940000001,"(43.6288408, -79.52099940000001)", Kingsway Park South West 
208,M8Z,Etobicoke,43.6288408,-79.52099940000001,"(43.6288408, -79.52099940000001)", Royal York South West
